Ancestor,Annotator,Applications-detailed,Applications,Backdrive Friction,MatchedDevice,Matched,Claimed Properties,Continuous Force *,Cost,D1,D2,D3,D4,D5,D6,Device,Device Index,Device Model Video,DoF Types,Drive,Embedded Video,F32,F33,F74,Fabricability,Force Resolution,Friction,Full Name,Further information,HTTP Video,Human Interface,ImageLink,Images,Inertia at tip,Interaction Interface,Links (material??),Max. object stiffness (Reported) *,Max/Min Force  (Dyn. Range),Mechanism,Naming,Nominal Spatial Resolution,Notes,NumberOfDoF,Num Links-status,NumLinks,NumMotors,Num Other DoF,Num Rotational DoF,Num Translational DoF,Number of Citations,Number of Records,Obtainability,Paper Title,Paper type,Passive or Active Device,PeakForceNewton,Peak Force - Status,Peak Force - detailed,Peak Force Classification,Peak Torque (Nm) - derived,Peak Torque Classification,Pivot Field Names,Application Tag,Portability,ProductType,Qualitative tags,Refresh Rate,Repairability,Response,Robustness,To include,UX Attribute,UX Rating-2,Venue,Video Info2,Video Info,Video Link,VideoAvailable,Workspace Classification,Workspace Size *,Year,citation till Jan 2018,random,RotationalWorkspace,TranslationalWorkspace,DoFTypeIndex,ApplicationTagIndex,Application Tag,,,Device
"Haptic Paddle
(first developed at 
Stanford University 
and now under further
 development at 
Johns Hopkins University)",FF,#NAME?,"research, teleoperation, synthesizer keyboard, education",,iTouch Motor,TRUE,"low-cost, easy-to-build",,Very Cheap,0,0,0,30,0,0,iTouch Motor,21,,Rotational,"they build their
 own motor 
(iTouch motor)",https://www.youtube.com/embed/6IhQnWb44zk,,,0,High,,,iTouch Motor,,http://www.youtube.com/v/6IhQnWb44zk,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,"users generally rest
 their wrist on the 
housing/magnet assembly
 and extend their fingers
 to rest on the end of the 
crescent-shaped handle","crescent-shaped handle
 laser-cut Plexiglas",, Max torque 0.202 Nm,Serial,original,,,1,Estimated,2,1,0,1,0,53,1,Low,Haptic interface for hands on instruction in system dynamics and embedded control,,Active,0,Reported,,N/A,0.202,Low,Application tags-1,research,High,Research Prototype,,,High,between 0.5 and 20 Hz,Medium,1,Portability,High,HAPTICS,iswc16-cameraready.mp4,iswc16-cameraready.mp4,,No,N/A,30  degrees,2003,53,,Small: < 120 degrees,N/A: 0cm,2,b1,research,,,iTouch Motor
,FF,#NAME?,rehabilitation,,The Box,TRUE,"low-cost, robust, easy-to-build",5.4 Nm torque,Cheap,0,0,0,360,0,0,The Box,22,,Rotational,"RE35 35mm
diameter brushed 
Maxon motor
 rated at 90 Watts.
pair of Berg sprocket 
gears and a cable-chain",https://www.youtube.com/embed/4OFa6MJRr58,,,0,High,,,The Box,,http://www.youtube.com/v/4OFa6MJRr58,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,Knob," Plexiglas, wood",,,Serial,original,,,1,Estimated,1,1,0,1,0,53,1,Low,Haptic interface for hands on instruction in system dynamics and embedded control,,Active,0,Reported,,N/A,5.4,Medium,Application tags-2,rehabilitation,High,Research Prototype,,,High,,Medium,1,Portability,High,HAPTICS,hapturk.mp4,hapturk.mp4,,No,N/A,,2003,53,,Large: < 360 degrees,N/A: 0cm,2,a9,rehabilitation,,,The Box
,GP+FF,a force-feedback controller for the telemanipulation from earth to the device in space,"space robotics, teleoperation",,Rjo,TRUE,,,High,10.31,10.31,0,0,0,0,Rjo,17,,Translational,"two brushless DC motors, one in each axis",https://www.youtube.com/embed/hB0TGrpSc4o,,,0,Medium,,,Raumfahrttauglicher Joystick,,http://www.youtube.com/v/hB0TGrpSc4o,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,a graspable joystic,"made out of aluminium and provide an electrically
 conductive surface (electroless nickel coating)",1.57 Nm/rad,,Serial,original,,DLR force feedback joystick,2,Estimated,2,2,0,0,2,4,1,Low,KONTUR-2 MISSION: THE DLR FORCE FEEDBACK JOYSTICK FOR SPACE TELEMANIPULATION FROM THE ISS,2,Active,15,Reported,15 N,Medium,2.25,Medium,Application tags-1,space robotics,Medium,Research Prototype,,1 kHz,Medium,,High,1,Robustness,High,IROS,hapturk.mp4,hapturk.mp4,,No,Medium,±20 deg on each axis,2016,4,,N/A: 0 degrees,Medium: < 60cm,1,b2,space robotics,,,Rjo
,GP,rehabilitation for patients,rehabilitation,,MOTORE,TRUE,,,,108,72,0,0,0,0,MOTORE,19,,Translational,Three DC motors,https://www.youtube.com/embed/4OFa6MJRr58,,,0,Medium,,,MObile roboT for upper limb neurOrtho Rehabilitation,,http://www.youtube.com/v/4OFa6MJRr58,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,0.1086825 kg m^2, a circular handle on the arm support,,1 kN/m,,Other,original,0.03 mm,,2,Estimated,2,3,0,0,2,4,1,Low,Portable Haptic Interface with Omni-Directional Movement and Force Capability,1,Active,15,Reported,15N,Medium,0,N/A,Application tags-1,rehabilitation,High,Research Prototype,"portable,lightweight",10 kHz,Medium,,Medium,1,Portability,High,IEEE Transactions on Haptics,hapturk.mp4,hapturk.mp4,,No,Large,"Not limited for its mobility
(In experiment, 1080x720mm)",2014,4,,N/A: 0 degrees,Large: > 60cm,1,a9,rehabilitation,,,MOTORE
,GP+FF,"teleoperation, virtual reality",virtual reality,,Virtuose 3D,TRUE,"hand-centered, safe, high stiffness",11 - 18 N (by directions),High,92,49,42,0,0,0,Virtuose 3D,15,,"Translational, Rotational",Three brushless DC motors,https://www.youtube.com/embed/6IhQnWb44zk,,,1,Medium,0.4 N,0.3 - 0.6 N (by directions),Virtuose 3D,,http://www.youtube.com/v/6IhQnWb44zk,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,a metallic bar-type grip,"Structure: Decoupled actuation scheme with mobile motors (DMM)
Linkage: aluminum with linear mass of 150 g/m","electrical: 2350 - 6000 N/m (by directions)
mechanical: 3650 - 7500 N/m (by directions)",,Serial,original,,,6,Estimated,7,3,0,3,3,8,1,High,Design of VIRTUOSE 3D: a new haptic interface for teleoperation and virtual reality,1 (mainly 2),Active,55,Reported,34 - 55 N (by directions),High,0,N/A,Application tags-2,virtual reality,Low,Research Prototype,intrinsically safe,,Low,,High,1,Repairability,Low,ICRA,VibVizVideo.mp4,VibVizVideo.mp4,https://drive.google.com/file/d/1DujwrA1Sp5wnFaEZuv8NPn6tTzxglz4J/view,No,Large,"total: 420x490x920 mm
useful: 300x300x300 mm",2001,8,,N/A: 0 degrees,Large: > 60cm,3,a2,virtual reality,,,Virtuose 3D
SPIDAR-G,GP+FF,a virtual sphere and a pointer were controlled using SPIDAR-G&G to get match to compare the performance between uni-/bi-manual tasks and with/without haptic feedback,teleopertion,,NONE,FALSE,bimanual,,,20,20,20,0,0,0,SPIDAR-G&G,13,,"Translational, Rotational",Three motors for rotary module,https://www.youtube.com/embed/4OFa6MJRr58,,,0,High,,,SPIDAR-G&G,A haptic interface for two-handed 6DOF manipulation-SPIDAR-G&G system,http://www.youtube.com/v/4OFa6MJRr58,Bimanual,,https://volgadarinous.github.io/Carousel/site/index.html,,a spherical grip of which size ∅ 3.25 cm,Tensile (inextensible thread/cable),,,Wire,original,,,6,Reported,1,8,0,3,3,82,1,Low,SPIDAR G&G: A Two-Handed Haptic Interface for Bimanual VR Interaction,3,Active,-20,Missing,,Missing,-20,Missing,Application tags-1,virtual reality,Medium,Research Prototype,,1 kHz,High,,Low,1,Fabricability,High,Eurohaptics,iswc16-cameraready.mp4,iswc16-cameraready.mp4,,No,Medium,200 x 200 x 200 mm,2004,82,,N/A: 0 degrees,Medium: < 60cm,3,a2,virtual reality,,,SPIDAR-G&G
,,same as above,,,NONE,,high stiffness,max 60 N,High,84,84,84,0,0,0,3DoF MD^2,26,,Translational,"high-frequency motor cable transmission, assume",https://www.youtube.com/embed/hB0TGrpSc4o,,,1,Low,,,3DoF MD^2,,http://www.youtube.com/v/hB0TGrpSc4o,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,a spherical handle,4 metal link,57  N/mm,,Serial,original,,,3,Reported,4,3,0,0,3,20,1,Low,Large Workspace Haptic Devices A New Actuation Approach,,Active,60,Reported,,Very High,0,N/A,Application tags-1,None,Medium,Research Prototype,"high stiffness,high force,low output impedance",,Medium,,Medium,1,Fabricability,Low,HAPTICS,hapturk.mp4,hapturk.mp4,https://drive.google.com/file/d/1c04CknE7fRRnU8c51V-UVa_1mTdM7O07/view,No,Large,0.6 cubic meters),2008,20,,N/A: 0 degrees,Large: > 60cm,1,a1,None,,,3DoF MD^2
,GP+FF,,"surgery, teleoperation, virtual reality, minimally invasive surgery",,Pantoscope,TRUE,,2.5 Nm (Torque),Cheap,20,7,0,0,0,0,Pantoscope,4,,Translational,"Two iron-free motors on a parallel drive, therefore four motors for the entire system",https://www.youtube.com/embed/4OFa6MJRr58,,,0,Medium,,5 mNm,Pantoscope,,http://www.youtube.com/v/4OFa6MJRr58,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,Laparoscopic tools,Aluminum linkage,,,Parallel,original,,For a laparoscopic surgery simulator,2,Reported,10,4,0,0,2,82,1,Low,The Pantoscope: A Spherical Remote-Center-of-Motion Parallel Manipulator for Force Reflection,2,Active,3.57,Reported,,Low,2.5,Medium,Application tags-1,surgery,High,Research Prototype,"low inertia,low friction,no backlash,high stiffness,backdriveability",,Medium,Lowest natural frequency of  50Hz,Medium,1,Portability,High,ICRA,hapturk.mp4,hapturk.mp4,,No,Small,"60 degress of opening angle, 200 mm radius, 70 mm height",1997,82,,N/A: 0 degrees,Small: < 20cm,1,a6,surgery,,,Pantoscope
,GP+HS+FF,,virtual reality,,PANTOGRAPH'94,TRUE,"compact, easy-to-build",,Cheap,16,10,0,0,0,0,PANTOGRAPH'94,2,https://drive.google.com/file/d/1bREj0OQ1bo0PwF7N1TpC3zVpZXcNUiHu/view,Translational,2 DC motors in base,https://www.youtube.com/embed/hB0TGrpSc4o,,,1,High,,,PANTOGRAPH,The PANTOGRAPH: a Large Workspace Haptic Device for a Multi-Modal Human-Computer Interaction,http://www.youtube.com/v/hB0TGrpSc4o,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,??Closest to a fraction of gram over 0.01m2 workspace,Knob,Five-bar metallic linkage,,± 3 db open loop,Parallel,original,,"A paper of describing how to design the device, so no specified characteristics are written in this paper.",2,Reported,5,2,0,0,2,148,1,Low,Design and Multi-Objective Optimization of a Linkage for a Haptic Interface,2,Active,10,Reported,10 N,Medium,0,N/A,Application tags-1,virtual reality,High,Research Prototype,ergonomic,,High,3 dB : open-loop response of torque to acceleration,Medium,1,Fabricability,High,Advances in Robot Kinematics & Computational Geometry,hapturk.mp4,hapturk.mp4,https://drive.google.com/file/d/1bREj0OQ1bo0PwF7N1TpC3zVpZXcNUiHu/view,Yes,Small,10 x 16 cm,1994,148,,N/A: 0 degrees,Small: < 20cm,1,a2,virtual reality,,,PANTOGRAPH'94
,FF,,"virtual reality, education",,Haplet_Haply,TRUE,"low-cost, compact, open source",,Cheap,-5,-5,0,0,0,0,Haplet_Haply,28,,Translational,ESCAP 16 coreless DC motors,https://www.youtube.com/embed/4OFa6MJRr58,,,0,High,,,Haplet/Haply,"7 citations,
other info source: Gallacher, C.Transparent navigation with impedance type haptic devices. Master’s thesis, McGill University, 2016. Department ofMechanical Engineering; Applied Dynamics Group",http://www.youtube.com/v/4OFa6MJRr58,Finger,,https://volgadarinous.github.io/Carousel/site/index.html,,small handle that you put your finger on it and move it,five-bar linkage made of plexiglas,,"8 N in the central
 region of workspace",Parallel,original,"joint rotation resolution 
of approximately 0.0259◦",,2,Reported,5,-1,0,0,2,7,1,Low,Toward Open-Source Portable Haptic Displays with Visual-Force-Tactile Feedback Colocation,,Active,8,Reported,,Medium,0,N/A,Application tags-1,virtual reality,High,Research Prototype,,,High,,Low,1,Portability,High,HAPTICS,hapturk.mp4,hapturk.mp4,,No,Missing,?,2016,7,,N/A: 0 degrees,Missing,1,a2,virtual reality,,,Haplet_Haply
,FF,"They presented the DM2 actuation method in the
 context of a large workspace haptic device.Their
 results showthe effectiveness of the approach, 
demonstrating high overall stiffness, high force
 capability and low output impedance, all within
 a large workspace.",,,NONE,,high stiffness,max 30 N,High,84,84,0,0,0,0,2DoF MD^2,25,,Translational,"high-frequency motor cable transmission, assume",https://www.youtube.com/embed/4OFa6MJRr58,,,1,Low,,,2DoF MD^2,,http://www.youtube.com/v/4OFa6MJRr58,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,handle,3 metal link,12 N/mm,,Serial,original,,,2,Reported,3,2,0,0,2,20,1,Low,Large Workspace Haptic Devices A New Actuation Approach,,Active,30,Reported,,High,0,N/A,Application tags-1,None,Medium,Research Prototype,"high stiffness,high force,low output impedance",,Medium,,Medium,1,Fabricability,Low,HAPTICS,iswc16-cameraready.mp4,iswc16-cameraready.mp4,https://drive.google.com/file/d/10ymjP40NIsMsozG7iwFEIeZeDINM6k1_/view,No,Large,0.6 cubic meters),2008,20,,N/A: 0 degrees,Large: > 60cm,1,a1,None,,,2DoF MD^2
,FF,ankle and bal- ance rehabilitation.(training of ankle range of motion exercise in sitting and standing positions and also weight shifting and balance training in standing position),"rehabilitation, training research, virtual reality",,NUVABAT,TRUE,"low-cost, compact",,Cheap,0,0,0,90,24,0,NUVABAT,27,,Rotational,,https://www.youtube.com/embed/6IhQnWb44zk,,,0,Medium,,,The Northeastern University Virtual Ankle and Balance Trainer (NUVABAT),15 citations,http://www.youtube.com/v/6IhQnWb44zk,Foot,,https://volgadarinous.github.io/Carousel/site/index.html,," a small 2 DOF moveable (pedal-like)
platform housed within
 a larger stable platform.","Aluminium,wood",,"0.25-15 Nm on pitch
0.25-6 Nm on roll",Serial,original,,,2,Estimated,3,2,0,2,0,15,1,Low,NUVABAT: Northeastern university virtual ankle and balance trainer,,Passive,0,Reported,,N/A,15,Very High,Application tags-1,rehabilitation,Medium,Research Prototype,,,Medium,,Medium,1,Obtainability,Low,HAPTICS,VibVizVideo.mp4,VibVizVideo.mp4,,No,Small,,2010,15,,Small: < 120 degrees,N/A: 0cm,2,a9,rehabilitation,,,NUVABAT
BAM'06,GH,"their main purpose is to design a transparent force controller for passive haptic device as active hatpic devices do. 
they made friction models for MR brakes to compensate the poor performance of them.",rehabilitation,,BAM'10,TRUE,,,Moderate,-5,-5,0,0,0,0,BAM'10,29,,Translational,Magneto-rheological (MR) brakes (Placid Industry B15) for two axes and a small geard motor (Faulhaber series 3257) to compensate gravity to the linear axis,https://www.youtube.com/embed/hB0TGrpSc4o,,,0,Low,,Coulomb Friction Coefficient: 0.704,BAM (Brake Actuated Manipulator),,http://www.youtube.com/v/hB0TGrpSc4o,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,3.56 kg,a metal bar connected to a crane-like metal linkage,"revolute axis: metal linkage
linear axis: belt-driven",,,Serial,original,0.07 rad (extracted from a referenced paper),,2,Estimated,7,3,0,0,2,0,1,Low,Interaction control for a brake actuated manipulator,1,Passive,200,Reported,,Large,0,N/A,Application tags-1,rehabilitation,Low,Research Prototype,gravity compensation,1 kHz,Medium,,High,1,Robustness,High,HAPTICS,hapturk.mp4,hapturk.mp4,,No,Large,2 cubic meters,2010,0,,N/A: 0 degrees,Large: > 60cm,1,a9,rehabilitation,,,BAM'10
,GP+HS+FF,"teleoperation, virtual reality","virtual reality, teleoperation",0.1 Nt,PHANToM'94,TRUE,"low-cost, easy-to-use",1.5 N,Ask for quote,25,17,8,0,0,0,PHANToM'94,1,https://drive.google.com/file/d/1p_ZKQEhLPMvWMN8ZW1C5h9wyjTUx3w9x/view,Translational,Cable; 3 DC motors in base,https://www.youtube.com/embed/4OFa6MJRr58,,,1,Medium,12 bit,,PHANToM,,http://www.youtube.com/v/4OFa6MJRr58,Finger,,https://volgadarinous.github.io/Carousel/site/index.html,< 100 gm,Thimble-gimbal,"Aluminum based rigid link
(6 links, 5 revolute joints and 2 rolling joints  5*3-5*2-2*1= 3 DoF)",35 Nt/cm,100:01:00,Hybrid,original,400 dpi,Easy to get these because they are well described in a table,3,Estimated,6,3,0,0,3,1793,1,Medium,The PHANToM Haptic Interface: A Device for Probing Virtual Objects,1,Active,10,Reported,10 N,Medium,0,N/A,Application tags-1,teleoperation,High,Research Prototype,"convenient,affordable,force-reflecting,hand-centered, statistically balanced",,Medium,,Medium,1,Portability,High,HAPTICS,hapturk.mp4,hapturk.mp4,https://drive.google.com/file/d/1p_ZKQEhLPMvWMN8ZW1C5h9wyjTUx3w9x/view,Yes,Medium,8 x 17 x 25 cm,1994,1793,,N/A: 0 degrees,Medium: < 60cm,1,a7,teleoperation,,,PHANToM'94
delta-based,HS+FF,"aerospace and medical industries by operators in charge of dexterous robots, medical and space robotics,micro and nano manipulators, teleoperation consoles,virtual simulations,training systems, research","medical robotics, space robotics, micro manipulators, teleoperation, virtual reality, training systems, research",,Omega.7,TRUE,"hand-centered,gravity compensation,automatic calibration,velocity monitoring,electromagnetic damping",,Ask for quote,16,16,11,240,180,170,Omega.7,9,,"Translational, Rotational, Other",Estimated,https://www.youtube.com/embed/6IhQnWb44zk,,,0,Low,,,omega.7,,http://www.youtube.com/v/6IhQnWb44zk,"One-handed, Bimanual",,https://volgadarinous.github.io/Carousel/site/index.html,,"a finger timble + a cylindrical handle 
1 programmable button",the same as above plus 1 active grasping,closed-loop 14.5 N/mm,,Parallel,original,"translation < 0.01 mm
rotation 0.09 deg
grasping 0.006 mm",Force dimension Inc.,7,Estimated,12,7,1,3,3,N/A,1,High,omega.7,,Active,12,Reported,"translation 12.0 N
grasping ± 8.0 N",Medium,-10,Missing,Application tags-1,medical robotics,High,Commercial Product,"hand-centered,gravity compensation,automatic & driftless calibration,velocity monitoring,electromagnetic damping",refresh rate up to 4 KHz,Low,,High,1,Portability,High,Webpage,iswc16-cameraready.mp4,iswc16-cameraready.mp4,,No,Small,"translation ∅ 160 x 110 mm
rotation 240 x 140 x 180 deg
grasping 25 mm",2008,40,,Large: < 360 degrees,Small: < 20cm,4,a4,medical robotics,,,Omega.7
,"FF,HS",,,,NONE,,,,,0,0,0,360,,,ScrewInsertion_JHU'10,39,,Rotational,,,,,0,High,,,ScrewInsertion_JHU'10,,,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,,Serial,derived,,,1,Estimated,2,1,0,1,0,8,1,Low,Design of a haptic simulator for osteosynthesis screw insertion,,Active,,,,,0.92,,Application tags-1,surgical robotics,High,Research Prototype,,,High,,Medium,1,Fabricability,High,HAPTICS,,,,No,TBD,,2010,8,,Large: < 360 degrees,N/A: 0cm,2,a5,surgical robotics,,,ScrewInsertion_JHU'10
,"FF,HS",,,,NONE,,,0,,0,0,0,360,0,0,DGroove,42,,Rotational,,,,,0,High,0,,Dgroove,,,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,0,Serial,derived,0,,1,Estimated,2,1,0,1,0,16,1,Low,Designing the haptic turntable for musical control,,Active,0,,,,-1,,Application tags-1,music,High,Research Prototype,,,High,,Medium,1,Fabricability,High,HAPTICS,,,,No,TBD,,2003,16,,Large: < 360 degrees,N/A: 0cm,2,b3,music,,,DGroove
,"FF,HS",,,,NONE,,,3,,131,131,0,0,0,0,Joystick_RutgersUniversity'03,45,,Translational,,,,,0,High,,,Joystick_RutgersUniversity'03,,,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,,Serial,derived,,,2,Estimated,2,0,0,0,2,24,1,Low,Electrorheological fluidic actuators for haptic vehicular instrument controls,,Active,10,,,,,,Application tags-1,automotive industry,High,Research Prototype,,,High,,Medium,1,Fabricability,High,HAPTICS,,,,No,TBD,,2003,24,,N/A: 0 degrees,Small: < 20cm,1,b4,automotive industry,,,Joystick_RutgersUniversity'03
,"FF,GP",,,,NONE,,,,,-5,0,0,360,210,,fiberopticintubator_MedStar'10,37,,"Translational, Rotational",,,,,0,High,,,fiberopticintubator_MedStar'10,,,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,,Other,derived,,,3,Reported,0,4,0,2,1,1,1,Low,Fiber-Optic Intubation Simulator with Force Feedback Ankur,,Active,35,,,,0,,Application tags-1,minimally invasive surgery,High,Research Prototype,,,High,,Medium,1,Fabricability,High,IEEE/ASME Transactions on Mechatronics,,,,No,TBD,,2010,1,,Large: < 360 degrees,Missing,3,b5,minimally invasive surgery,,,fiberopticintubator_MedStar'10
,"FF,HS",,,,NONE,,,-1,,-5,0,0,360,180,180,Endoscope_MannheimUniversity'03,46,,"Translational, Rotational",,,,,0,High,,,Endoscope_MannheimUniversity'03,,,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,,Wire,derived,,,4,Reported,0,1,0,3,1,40,1,Low,Implementation of a Haptic Interface for a Virtual Reality Simulator for Flexible Endoscopy,,Active,-1,,,,,,Application tags-1,surgery,High,Research Prototype,,,High,,Medium,1,Fabricability,High,HAPTICS,,,,No,TBD,,2003,40,,Large: < 360 degrees,N/A: 0cm,3,a6,surgery,,,Endoscope_MannheimUniversity'03
,HS,,,,NONE,,,,,-5,0,0,0,0,0,Treadmill_UUtah'03,44,,Translational,,,,,0,Low,15,,Treadmill_UUtah'03,,,Other,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,120/-120,Wire,derived,,,1,,,,0,0,1,26,1,Low,Simulating side slopes on locomotion interfaces using torso forces,,Active,120,,,,,,Application tags-1,virtual reality,Low,Research Prototype,,,Low,,Low,1,Fabricability,Low,HAPTICS,,,,No,TBD,,2003,26,,N/A: 0 degrees,Missing,1,a2,virtual reality,,,Treadmill_UUtah'03
da Vinci surgical system,"FF,HS",,,,NONE,,,,,-5,-5,-5,360,360,360,daVinci_JHU'8,48,,"Translational, Rotational",,,,,0,Low,,,daVinci_JHU'8,,,Bimanual,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,,Other,derived,,,6,Estimated,0,1,0,3,3,65,1,Low,Force-feedback surgical teleoperator: Controller design and palpation experiments,,Active,7,,,,,,Application tags-1,teleoperation,Low,Research Prototype,,,Low,,Medium,1,Fabricability,Low,HAPTICS,,,,No,TBD,,2008,65,,Large: < 360 degrees,Missing,3,a7,teleoperation,,,daVinci_JHU'8
,"FF,HS",,,,NONE,,,,,200,0,0,360,,,Colonoscope_EPFL'08,36,,"Translational, Rotational",,,,,0,Medium,,,Colonoscope_EPFL'08,,,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,,Other,derived,,,2,Reported,0,2,0,1,1,20,1,Low,A haptic interface with motor/brake system for colonoscopy simulation,,Active,25,,,,0.5,,Application tags-1,virtual reality,High,Research Prototype,,,High,,Medium,1,Portability,High,HAPTICS,,,,No,TBD,,2008,20,,Large: < 360 degrees,Large: > 60cm,3,a2,virtual reality,,,Colonoscope_EPFL'08
MR_CHIROD_v.2,"FF,HS",,,,NONE,,,,,0,0,0,216,0,0,VRHD_Northeastern'10,38,,"Rotational,Grasping",,,,,0,Medium,,, Variable Resistance Hand Device,,,One-handed,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,350/3,Serial,derived,,,2,Estimated,5,1,1,1,0,16,1,Low,Haptic system for hand rehabilitation integrating an interactive game with an advanced robotic device,,Active,350,,,,55,,Application tags-7,None,Medium,Research Prototype,,,Medium,,Medium,1,Robustness,Med,HAPTICS,,,,No,TBD,,2010,16,,Medium: < 240 degrees,N/A: 0cm,5,a1,None,,,VRHD_Northeastern'10
Spherical Parallel Ball Support (SPBS),"FF,HS",,,,NONE,,,,,-5,0,0,360,360,360,SPBS_SFU'08,34,,"Translational, Rotational",,,,,0,Medium,,,SPBS_SFU'08,,,Finger,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,,Parallel,derived,,,4,Estimated,8,4,0,3,1,16,1,Low,Analysis and experimentation of a 4-DOF haptic device,,Hybrid,,,,,,,Application tags-1,minimally invasive surgery,High,Research Prototype,,,Medium,,Medium,1,Portability,High,HAPTICS,,,,No,TBD,,2008,16,,Large: < 360 degrees,Missing,3,b5,minimally invasive surgery,,,SPBS_SFU'08
PHANToM Premium 1.5,"FF,HS",,,,NONE,,,,,200,267,191,335,297,260,The Flying Phantom,35,,Translational,,,,,0,High,,,The Flying Phantom,,,Finger,,https://volgadarinous.github.io/Carousel/site/index.html,,,,3500,,Hybrid,original,860 dpi / 0.03mm,,6,Estimated,6,6,0,3,3,11,1,Low,"High bandwidth, large workspace haptic interaction: Flying phantoms",,Active,85,,,,0.515,,Application tags-2,teleoperation,Medium,Research Prototype,,3500,High,,Medium,1,Robustness,Med,HAPTICS,,,,No,TBD,,2008,11,,Large: < 360 degrees,Large: > 60cm,1,a7,teleoperation,,,The Flying Phantom
,"FF,HS",,,,NONE,,,480,,70,20,10,55,30,25,VWM,43,https://drive.google.com/file/d/1hprzm5__Q0WKhP2wEHzt2Y3fGvVowTnk/view,"Translational, Rotational, Other",,,,,1,Low,,,"Virtual Walking Machine, Virtual Walking Master",,,Foot,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,,Parallel,original,,,7,Estimated,15,1,1,3,3,16,1,Low,Design and analysis of a novel virtual walking machine,,Hybrid,,,,,,,Application tags-1,virtual reality,Medium,Research Prototype,,,Medium,,Medium,1,Fabricability,Low,HAPTICS,,,https://drive.google.com/file/d/1hprzm5__Q0WKhP2wEHzt2Y3fGvVowTnk/view,Yes,TBD,,2003,16,,Small: < 120 degrees,Large: > 60cm,4,a2,virtual reality,,,VWM
HI,"FF,HS",,,,NONE,,,-1,,30,30,30,90,45,0,HI,47,,"Translational, Rotational",,,,,0,Medium,,,Uniactuated Bimanual Haptic Interface,,,Bimanual,,https://volgadarinous.github.io/Carousel/site/index.html,,,,,,Hybrid,original,,,5,Missing,5,-1,0,2,3,12,1,Low,Design of a Uniactuated Bimanual Haptic Interface,,Active,-1,,,,-1,,Application tags-3,None,Medium,Research Prototype,,,Medium,,Medium,1,Robustness,Med,HAPTICS,,,,No,TBD,,2003,12,,Small: < 120 degrees,Medium: < 60cm,3,a1,None,,,HI